FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Marriage Wage,MIDS Daycare Wage,MIDS Below LWC, 4xTC Taxes , 4xTC Benefits , 4xTC LW , 4xTC Marriage Wage , 4xTC Daycare Wage ,4xTC Below LWC, 8xTC Taxes , 8xTC Benefits , 8xTC LW , 8xTC Marriage Wage , 8xTC Daycare Wage ,8xTC Below LWC, Marriage Credit Taxes , Marriage Credit Benefits , Marriage Credit LWC , Marriage Credit Marriage Wage , Marriage Credit Daycare Wage ,Marriage Credit Below LWC,Daycare Tax, Daycare Benefits , Daycare LWC , Daycare Marriage Wage , Daycare Daycare Wage ,Daycare Below LWC, UBI_12k Tax , UBI_12k Benefits , UBI_12k LWC , UBI_12k Marriage Wage , UBI_12k Daycare Wage ,UBI_12k Below LWC, UBI_6k+MBI_12k Tax , UBI_6k+MBI_12k Benefits , UBI_6k+MBI_12k LWC , UBI_6k+MBI_12k Marriage Wage , UBI_6k+MBI_12k Daycare Wage ,UBI_6k+MBI_12k Below LWC, MBI_24k Tax , MBI_24k Benefits , MBI_24k LWC , MBI_24k Marriage Wage , MBI_24k Daycare Wage ,MBI_24k Below LWC, Expanded Safety Net Tax , Expanded Safety Net Benefits , Expanded Safety Net LWC , Expanded Safety Net Marriage Wage , Expanded Safety Net Daycare Wage ,Expanded Safety Net Below LWC
37061,7644,5983,6898,9859,6322,4284,7100,48090,5180,6898,12086,9859,3577,-3784,48402.24,9212.17,21406.79,0.57,-12359,-3784,-24757,0,10101,0.27,-41007,-3784,-30312,3742,7484,0.33,4570,-23938,-25423,0,9717,0.28,3577,-13707,-29951,0,9211,0.33,10016,-15784,-11756,0,17111,0.13,8499,-27784,-32836,0,11127,0.36,8419,-27784,-32836,0,11127,0.36,4243,-3784,-31758,1474,13090,0.35
37131,7644,5983,6898,9859,6322,4284,7100,48090,6608,6898,12086,8445,3577,-3784,48402.24,9212.17,25500.87,0.61,-12359,-3784,-24757,0,13651,0.32,-41007,-3784,-30312,3742,11225,0.39,4570,-23938,-25423,0,13075,0.33,3577,-13707,-29951,0,11285,0.39,10016,-15784,-11756,0,20636,0.15,8499,-27784,-32836,0,12982,0.43,8419,-27784,-32836,0,12982,0.43,4243,-3784,-31758,0,15207,0.41
37099,8112,5983,6898,9859,6322,4284,7181,48639,5932,6898,12086,8742,3577,-3784,48402.24,0,23461.9,0.55,-12359,-3784,-24757,0,10101,0.29,-41007,-3784,-30312,3742,11225,0.36,4570,-23938,-25423,0,9717,0.3,3577,-13707,-25919,4032,13243,0.3,10016,-15784,-11756,0,17111,0.14,8499,-27784,-32836,0,12982,0.38,8419,-27784,-32836,0,12982,0.38,4243,-3784,-31758,0,13090,0.37
37005,7644,5983,6898,9859,6322,4284,7100,48090,5309,6898,12086,9859,3577,-3784,48402.24,0,21406.79,0.58,-12359,-3784,-24757,0,10101,0.24,-41007,-3784,-30312,0,7484,0.29,4570,-23938,-25423,0,9717,0.25,3577,-13707,-25919,4032,13243,0.25,10016,-15784,-11756,0,17111,0.11,8499,-27784,-32836,0,11127,0.32,8419,-27784,-32836,0,11127,0.32,4243,-3784,-31758,0,13090,0.31
37007,7644,5983,6898,9859,6322,4284,7100,48090,5309,6898,12086,9859,3577,-3784,48402.24,0,21406.79,0.59,-12359,-3784,-24757,0,10101,0.27,-41007,-3784,-30312,0,7484,0.33,4570,-23938,-25423,0,9717,0.28,3577,-13707,-25919,4032,13243,0.28,10016,-15784,-11756,0,17111,0.13,8499,-27784,-32836,0,11127,0.36,8419,-27784,-32836,0,11127,0.36,4243,-3784,-31758,0,13090,0.35
37009,7644,5983,6898,9859,6322,4284,7100,48090,5309,6898,12086,9859,3577,-3784,48402.24,0,21406.79,0.56,-12359,-3784,-24757,0,10101,0.23,-41007,-3784,-30312,0,7484,0.29,4570,-23938,-25423,0,9717,0.24,3577,-13707,-25919,4032,13243,0.24,10016,-15784,-11756,0,17111,0.11,8499,-27784,-32836,0,11127,0.31,8419,-27784,-32836,0,11127,0.31,4243,-3784,-31758,0,13090,0.3
37047,7644,5983,6898,9859,6322,4284,7100,48090,5315,6898,12086,9859,3577,-3784,48402.24,0,21406.79,0.57,-12359,-3784,-24757,0,10101,0.29,-41007,-3784,-30312,0,7484,0.36,4570,-23938,-25423,0,9717,0.3,3577,-13707,-25919,0,13243,0.31,10016,-15784,-11756,0,17111,0.14,8499,-27784,-32836,0,11127,0.39,8419,-27784,-32836,0,11127,0.39,4243,-3784,-31758,0,13090,0.38
37033,7644,5983,6898,9859,6322,4284,7100,48090,5325,6898,12086,9859,3577,-3784,48402.24,0,21406.79,0.54,-12359,-3784,-24757,0,10101,0.2,-41007,-3784,-30312,0,7484,0.25,4570,-23938,-25423,0,9717,0.21,3577,-13707,-25919,0,13243,0.21,10016,-15784,-11756,0,17111,0.1,8499,-27784,-32836,0,11127,0.27,8419,-27784,-32836,0,11127,0.27,4243,-3784,-31758,0,13090,0.26
37067,8316,5983,6898,9859,6322,4284,7216,48878,5117,6898,12086,9422,3577,-3784,48402.24,0,21406.79,0.45,-12359,-3784,-24757,0,10101,0.19,-41007,-3784,-30312,0,7484,0.23,4570,-23938,-25423,0,9717,0.19,3577,-13707,-25919,0,11170,0.2,10016,-15784,-11756,0,17111,0.09,8499,-27784,-30982,1855,11127,0.24,8419,-27784,-30982,1855,11127,0.24,4243,-3784,-31758,0,13090,0.24
37031,8292,5983,6898,9859,6322,4284,7212,48850,5325,6898,12086,9243,3577,-3784,48402.24,0,21406.79,0.44,-12359,-3784,-24757,0,10101,0.16,-41007,-3784,-30312,0,7484,0.2,4570,-23938,-25423,0,9717,0.16,3577,-13707,-25919,0,11170,0.17,10016,-15784,-11756,0,17111,0.08,8499,-27784,-30982,1855,12982,0.2,8419,-27784,-30982,1855,12982,0.2,4243,-3784,-31758,0,13090,0.2
