FIPS,State,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Net,MIDS Taxes All,3x EITC Tax,Basic Income Tax,Mids Taxes Universal,MIT LWC,MIDS LWC,3x EITC,Basic Income,MIDS LWC 2
5057,AR,8388,10687,8887,11553,5635,5178,7895,10687,8281.943505,9880,11553,53968,6887,-17839,7751,6887,58223,60855,36129,61719,60855
5059,AR,8976,10687,8887,11553,5635,5178,7977,9673,8727.894309,9880,10927,53362,6887,-17839,7751,6887,58893,60249,35523,61113,60249
5061,AR,8844,10687,8887,11553,5635,5178,7959,10687,8504.918907,9880,11553,54647,7480,-17246,8608,7480,58743,62127,37401,63255,62127
5063,AR,8652,10687,8887,11553,5635,5178,7932,10419,8568.626165,9880,10305,53003,6887,-17839,7751,6887,58524,59890,35164,60754,59890
5065,AR,8388,10687,8887,11553,5635,5178,7895,10687,8568.626165,9880,11553,54255,7480,-17246,8608,7480,58223,61735,37009,62863,61735
5067,AR,9924,10687,8887,11553,5635,5178,8110,10687,8791.601567,9880,11553,56014,8073,-16325,9465,8073,59974,64087,39689,65479,64087
5069,AR,9780,10687,8887,11553,5635,5178,8090,11357,8855.308825,9880,10132,55182,7480,-17246,8608,7480,59810,62662,37936,63790,62662
5071,AR,8664,10687,8887,11553,5635,5178,7934,10687,8504.918907,9880,11553,54467,7480,-17246,8608,7480,58538,61947,37221,63075,61947
5073,AR,9924,10687,8887,11553,5635,5178,8110,10687,8982.72334,9880,11553,56205,8073,-16325,9465,8073,59974,64278,39880,65670,64278
5075,AR,8952,10687,8887,11553,5635,5178,7974,10687,8632.333423,9880,11553,54882,7480,-17246,8608,7480,58866,62362,37636,63490,62362
5077,AR,8628,10687,8887,11553,5635,5178,7929,10687,8759.747938,9880,11553,54686,7480,-17246,8608,7480,58497,62166,37440,63294,62166
5079,AR,9780,10687,8887,11553,5635,5178,8090,10566,8855.308825,9880,10226,54486,7480,-17246,8608,7480,59810,61966,37240,63094,61966
5081,AR,9252,10687,8887,11553,5635,5178,8016,10334,8441.211649,9880,10996,54082,7480,-17246,8608,7480,59208,61562,36836,62690,61562
5083,AR,8388,10687,8887,11553,5635,5178,7895,10687,7804.139072,9880,11553,53490,6887,-17839,7751,6887,58223,60377,35651,61241,60377
5085,AR,12396,10687,8887,11553,5635,5178,8457,10747,9078.284227,9880,11424,58703,8666,-15309,10322,8666,62793,67369,43394,69025,67369
5087,AR,12108,10687,8887,11553,5635,5178,8416,9933,8568.626165,9880,11436,57104,8073,-16325,9465,8073,62464,65177,40779,66569,65177
5089,AR,8388,10687,8887,11553,5635,5178,7895,10687,8441.211649,9880,11553,54127,7480,-17246,8608,7480,58223,61607,36881,62735,61607
5091,AR,10524,10687,8887,11553,5635,5178,8194,10984,9014.576969,9880,10994,56575,8073,-16325,9465,8073,60658,64648,40250,66040,64648
5093,AR,8964,10687,8887,11553,5635,5178,7976,11990,8727.894309,9880,10388,55127,7480,-17246,8608,7480,58880,62607,37881,63735,62607
5095,AR,9144,10687,8887,11553,5635,5178,8001,10687,8600.479794,9880,11553,55042,7480,-17246,8608,7480,59085,62522,37796,63650,62522
5097,AR,8388,10687,8887,11553,5635,5178,7895,10687,8504.918907,9880,11553,54191,7480,-17246,8608,7480,58223,61671,36945,62799,61671
5099,AR,8688,10687,8887,11553,5635,5178,7937,10687,8632.333423,9880,11553,54618,7480,-17246,8608,7480,58565,62098,37372,63226,62098
5101,AR,8388,10687,8887,11553,5635,5178,7895,11589,8473.065278,9880,10294,53802,6887,-17839,7751,6887,58223,60689,35963,61553,60689
5103,AR,8664,10687,8887,11553,5635,5178,7934,11142,8982.72334,9880,10003,53850,6887,-17839,7751,6887,58538,60737,36011,61601,60737
5105,AR,12396,10687,8887,11553,5635,5178,8457,10306,9078.284227,9880,11430,58269,8666,-15309,10322,8666,62793,66935,42960,68591,66935
5107,AR,9924,10687,8887,11553,5635,5178,8110,10171,8823.455196,9880,9590,53566,6887,-17839,7751,6887,59974,60453,35727,61317,60453
5109,AR,8388,10687,8887,11553,5635,5178,7895,10687,8600.479794,9880,11553,54286,7480,-17246,8608,7480,58223,61766,37040,62894,61766
5111,AR,9864,10687,8887,11553,5635,5178,8102,10210,8504.918907,9880,10535,54172,7480,-17246,8608,7480,59906,61652,36926,62780,61652
5113,AR,9012,10687,8887,11553,5635,5178,7982,10687,8504.918907,9880,11553,54815,7480,-17246,8608,7480,58934,62295,37569,63423,62295
5115,AR,9648,10687,8887,11553,5635,5178,8072,10317,8919.016082,9880,10706,54649,7480,-17246,8608,7480,59660,62129,37403,63257,62129
5117,AR,9924,10687,8887,11553,5635,5178,8110,10687,8982.72334,9880,11553,56205,8073,-16325,9465,8073,59974,64278,39880,65670,64278
5119,AR,12396,10687,8887,11553,5635,5178,8457,11187,9046.430598,9880,11419,59107,8666,-15309,10322,8666,62793,67773,43798,69429,67773
5121,AR,8592,10687,8887,11553,5635,5178,7924,10687,8568.626165,9880,11553,54459,7480,-17246,8608,7480,58456,61939,37213,63067,61939
5123,AR,9372,10687,8887,11553,5635,5178,8033,9860,8855.308825,9880,9856,53001,6887,-17839,7751,6887,59345,59888,35162,60752,59888
5125,AR,12396,10687,8887,11553,5635,5178,8457,10871,9173.845113,9880,11420,58919,8666,-15309,10322,8666,62793,67585,43610,69241,67585
5127,AR,8400,10687,8887,11553,5635,5178,7897,10687,8345.650763,9880,11553,54044,7480,-17246,8608,7480,58237,61524,36798,62652,61524
5129,AR,8388,10687,8887,11553,5635,5178,7895,10687,8441.211649,9880,11553,54127,7480,-17246,8608,7480,58223,61607,36881,62735,61607
5131,AR,9588,10687,8887,11553,5635,5178,8063,9606,8122.675361,9880,10546,52921,6887,-17839,7751,6887,59591,59808,35082,60672,59808
5133,AR,8640,10687,8887,11553,5635,5178,7930,10687,8473.065278,9880,11553,54411,7480,-17246,8608,7480,58510,61891,37165,63019,61891
5135,AR,8856,10687,8887,11553,5635,5178,7961,10687,8377.504392,9880,11553,54532,7480,-17246,8608,7480,58757,62012,37286,63140,62012
5137,AR,8664,10687,8887,11553,5635,5178,7934,10687,8696.04068,9880,11553,54658,7480,-17246,8608,7480,58538,62138,37412,63266,62138
5139,AR,9264,10687,8887,11553,5635,5178,8018,11091,8919.016082,9880,10273,54605,7480,-17246,8608,7480,59222,62085,37359,63213,62085
5141,AR,8544,10687,8887,11553,5635,5178,7917,10687,9014.576969,9880,11553,54857,7480,-17246,8608,7480,58401,62337,37611,63465,62337
5143,AR,12108,10687,8887,11553,5635,5178,8416,9990,8536.772536,9880,11436,57128,8073,-16325,9465,8073,62464,65201,40803,66593,65201
