FIPS,State,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Net,MIDS Taxes All,3x EITC Tax,Basic Income Tax,Mids Taxes Universal,MIT LWC,MIDS LWC,3x EITC,Basic Income,MIDS LWC 2
36055,NY,8220,#N/A,6434,6855,4654,3644,4775,#N/A,6364.933553,8608,6714,33551,516,1506,-16629,3015,34582,34067,35057,16922,36566
36057,NY,7044,#N/A,6434,6855,4654,3644,4587,#N/A,6203.504078,8608,6501,32000,22,1313,-16954,2822,33218,32022,33313,15046,34822
36059,NY,15708,#N/A,6434,6855,4654,3644,5975,#N/A,7656.369346,8608,7439,43055,4665,3156,-13923,4665,43270,47720,46211,29132,47720
36061,NY,14580,#N/A,6434,6855,4654,3644,5794,#N/A,10077.81146,8608,8394,45304,4665,3156,-13923,4665,41961,49969,48460,31381,49969
36063,NY,6840,#N/A,6434,6855,4654,3644,4554,#N/A,5995.951897,8608,6620,31708,22,1313,-16954,2822,32981,31730,33021,14754,34530
36065,NY,7344,#N/A,6434,6855,4654,3644,4635,#N/A,6295.749492,8608,6525,32417,22,1313,-16954,2822,33566,32439,33730,15463,35239
36067,NY,7512,#N/A,6434,6855,4654,3644,4662,#N/A,6295.749492,8608,6728,32788,22,1313,-16954,2822,33761,32810,34101,15834,35610
36069,NY,8220,#N/A,6434,6855,4654,3644,4775,#N/A,6157.381371,8608,6731,33361,516,1506,-16629,3015,34582,33877,34867,16732,36376
36071,NY,12276,#N/A,6434,6855,4654,3644,5425,#N/A,6803.099268,8608,7375,38706,3986,2477,-14998,3986,39288,42692,41183,23708,42692
36073,NY,8220,#N/A,6434,6855,4654,3644,4775,#N/A,5488.602121,8608,6735,32696,516,1506,-16629,3015,34582,33212,34202,16067,35711
36075,NY,7512,#N/A,6434,6855,4654,3644,4662,#N/A,5788.399716,8608,6742,32294,22,1313,-16954,2822,33761,32316,33607,15340,35116
36077,NY,8160,#N/A,6434,6855,4654,3644,4765,#N/A,6480.24032,8608,6533,33425,516,1506,-16629,3015,34512,33941,34931,16796,36440
36079,NY,14580,#N/A,6434,6855,4654,3644,5794,#N/A,8325.148596,8608,7357,42514,4421,2912,-14299,4421,41961,46935,45426,28215,46935
36081,NY,14580,#N/A,6434,6855,4654,3644,5794,#N/A,7056.774156,8608,7711,41600,4421,2912,-14299,4421,41961,46021,44512,27301,46021
36083,NY,9000,#N/A,6434,6855,4654,3644,4900,#N/A,7218.20363,8608,7110,35581,1010,1701,-16302,3210,35487,36591,37282,19279,38791
36085,NY,14580,#N/A,6434,6855,4654,3644,5794,#N/A,7356.571751,8608,7520,41709,4421,2912,-14299,4421,41961,46130,44621,27410,46130
36087,NY,14580,#N/A,6434,6855,4654,3644,5794,#N/A,6780.037915,8608,7400,41012,4421,2912,-14299,4421,41961,45433,43924,26713,45433
36089,NY,6840,#N/A,6434,6855,4654,3644,4554,#N/A,5949.82919,8608,6355,31397,-4071,-2480,-20879,-971,32981,27326,28917,10518,30426
36091,NY,9000,#N/A,6434,6855,4654,3644,4900,#N/A,7402.694458,8608,7106,35761,1010,1701,-16302,3210,35487,36771,37462,19459,38971
36093,NY,9000,#N/A,6434,6855,4654,3644,4900,#N/A,6872.283328,8608,7116,35240,1010,1701,-16302,3210,35487,36250,36941,18938,38450
36095,NY,9000,#N/A,6434,6855,4654,3644,4900,#N/A,6849.221975,8608,7116,35217,1010,1701,-16302,3210,35487,36227,36918,18915,38427
36097,NY,6420,#N/A,6434,6855,4654,3644,4487,#N/A,6042.074604,8608,6855,31569,-4071,-2480,-20879,-971,32494,27498,29089,10690,30598
36099,NY,7188,#N/A,6434,6855,4654,3644,4610,#N/A,5419.418061,8608,6529,31389,22,1313,-16954,2822,33385,31411,32702,14435,34211
36101,NY,6636,#N/A,6434,6855,4654,3644,4521,#N/A,5857.583777,8608,6480,31226,-4071,-2480,-20879,-971,32744,27155,28746,10347,30255
36103,NY,15708,#N/A,6434,6855,4654,3644,5975,#N/A,7402.694458,8608,7388,42750,4665,3156,-13923,4665,43270,47415,45906,28827,47415
36105,NY,8772,#N/A,6434,6855,4654,3644,4863,#N/A,5788.399716,8608,6855,33667,1010,1701,-16302,3210,35222,34677,35368,17365,36877
36107,NY,6504,#N/A,6434,6855,4654,3644,4500,#N/A,7172.080923,8608,6577,32505,-4071,-2480,-20879,-971,32591,28434,30025,11626,31534
36109,NY,11316,#N/A,6434,6855,4654,3644,5271,#N/A,7033.712803,8608,6576,37178,3598,2089,-15650,3598,38174,40776,39267,21528,40776
36111,NY,9828,#N/A,6434,6855,4654,3644,5033,#N/A,6918.406035,8608,6778,35777,1504,1894,-15977,3403,36448,37281,37671,19800,39180
36113,NY,10020,#N/A,6434,6855,4654,3644,5063,#N/A,6803.099268,8608,6664,35739,1504,1894,-15977,3403,36670,37243,37633,19762,39142
36115,NY,10020,#N/A,6434,6855,4654,3644,5063,#N/A,7886.98288,8608,6672,36831,1504,1894,-15977,3403,36670,38335,38725,20854,40234
36117,NY,8220,#N/A,6434,6855,4654,3644,4775,#N/A,5903.706484,8608,6736,33112,516,1506,-16629,3015,34582,33628,34618,16483,36127
36119,NY,14124,#N/A,6434,6855,4654,3644,5721,#N/A,7402.694458,8608,7451,41229,4421,2912,-14299,4421,41432,45650,44141,26930,45650
36121,NY,6000,#N/A,6434,6855,4654,3644,4419,#N/A,7172.080923,8608,6855,32279,-4071,-2480,-20879,-971,32006,28208,29799,11400,31308
36123,NY,6072,#N/A,6434,6855,4654,3644,4431,#N/A,5188.804527,8608,6736,30248,-4071,-2480,-20879,-971,32090,26177,27768,9369,29277
37001,NC,6504,#N/A,5540,8554,4642,3916,5050,#N/A,5540.101271,9428,8137,33525,3781,2630,-15505,4139,34206,37306,36155,18020,37664
37003,NC,6444,#N/A,5540,8554,4642,3916,5040,#N/A,5540.101271,9428,8118,33446,3781,2630,-15505,4139,34136,37227,36076,17941,37585
37005,NC,6444,#N/A,5540,8554,4642,3916,5040,#N/A,5480.530289,9428,8554,33823,3781,2630,-15505,4139,34136,37604,36453,18318,37962
37007,NC,6444,#N/A,5540,8554,4642,3916,5040,#N/A,5381.24532,9428,8554,33723,3781,2630,-15505,4139,34136,37504,36353,18218,37862
37009,NC,5832,#N/A,5540,8554,4642,3916,4934,#N/A,5520.244277,9428,8554,33250,3781,2630,-15505,4139,33418,37031,35880,17745,37389
37011,NC,6240,#N/A,5540,8554,4642,3916,5004,#N/A,5520.244277,9428,8554,33658,3781,2630,-15505,4139,33896,37439,36288,18153,37797
37013,NC,5952,#N/A,5540,8554,4642,3916,4954,#N/A,5619.529246,9428,7925,32841,3232,2080,-16187,3589,33558,36073,34921,16654,36430
37015,NC,5652,#N/A,5540,8554,4642,3916,4902,#N/A,5162.818388,9428,8554,32713,3781,2630,-15505,4139,33206,36494,35343,17208,36852
37017,NC,5652,#N/A,5540,8554,4642,3916,4902,#N/A,5520.244277,9428,8554,33070,3781,2630,-15505,4139,33206,36851,35700,17565,37209
37019,NC,7932,#N/A,5540,8554,4642,3916,5297,#N/A,6155.668079,9428,8022,35454,3911,2760,-15243,4269,35881,39365,38214,20211,39723
37021,NC,7272,#N/A,5540,8554,4642,3916,5183,#N/A,5401.102314,9428,7978,33995,3911,2760,-15243,4269,35107,37906,36755,18752,38264
37023,NC,6444,#N/A,5540,8554,4642,3916,5040,#N/A,4845.106488,9428,8115,32748,3781,2630,-15505,4139,34136,36529,35378,17243,36887
37025,NC,8232,#N/A,5540,8554,4642,3916,5349,#N/A,5401.102314,9428,8540,35517,4040,2889,-14982,4398,36233,39557,38406,20535,39915
37027,NC,6444,#N/A,5540,8554,4642,3916,5040,#N/A,5023.819432,9428,8111,32923,3781,2630,-15505,4139,34136,36704,35553,17418,37062
37029,NC,7752,#N/A,5540,8554,4642,3916,5266,#N/A,5837.956178,9428,8387,35321,4040,2889,-14982,4398,35670,39361,38210,20339,39719
37031,NC,6996,#N/A,5540,8554,4642,3916,5135,#N/A,6393.952004,9428,8020,34754,3781,2630,-15505,4139,34783,38535,37384,19249,38893
37033,NC,5652,#N/A,5540,8554,4642,3916,4902,#N/A,4884.820475,9428,8554,32435,3781,2630,-15505,4139,33206,36216,35065,16930,36574
37035,NC,6444,#N/A,5540,8554,4642,3916,5040,#N/A,5321.674339,9428,8140,33250,3781,2630,-15505,4139,34136,37031,35880,17745,37389
37037,NC,8532,#N/A,5540,8554,4642,3916,5401,#N/A,6155.668079,9428,8387,36419,4040,2889,-14982,4398,36585,40459,39308,21437,40817
37039,NC,5652,#N/A,5540,8554,4642,3916,4902,#N/A,5758.528202,9428,8554,33309,3781,2630,-15505,4139,33206,37090,35939,17804,37448
37041,NC,6444,#N/A,5540,8554,4642,3916,5040,#N/A,5460.673295,9428,8554,33803,3781,2630,-15505,4139,34136,37584,36433,18298,37942
37043,NC,6444,#N/A,5540,8554,4642,3916,5040,#N/A,5837.956178,9428,8554,34180,3781,2630,-15505,4139,34136,37961,36810,18675,38319
37045,NC,6132,#N/A,5540,8554,4642,3916,4986,#N/A,4924.534463,9428,7757,32158,3232,2080,-16187,3589,33770,35390,34238,15971,35747
37047,NC,6240,#N/A,5540,8554,4642,3916,5004,#N/A,5361.388326,9428,8554,33499,3781,2630,-15505,4139,33896,37280,36129,17994,37638
37049,NC,7008,#N/A,5540,8554,4642,3916,5137,#N/A,5877.670165,9428,8159,34389,3911,2760,-15243,4269,34797,38300,37149,19146,38658
37051,NC,7656,#N/A,5540,8554,4642,3916,5250,#N/A,5420.959308,9428,8339,34760,3911,2760,-15243,4269,35558,38671,37520,19517,39029
37053,NC,11268,#N/A,5540,8554,4642,3916,5875,#N/A,6374.09501,9428,8764,39751,4429,3278,-14197,4787,39795,44180,43029,25554,44538
37055,NC,8280,#N/A,5540,8554,4642,3916,5358,#N/A,6910.233843,9428,8420,36954,4040,2889,-14982,4398,36290,40994,39843,21972,41352
37057,NC,6072,#N/A,5540,8554,4642,3916,4975,#N/A,4984.105444,9428,8189,32589,3781,2630,-15505,4139,33699,36370,35219,17084,36728
37059,NC,6792,#N/A,5540,8554,4642,3916,5100,#N/A,5579.815258,9428,8194,33910,3781,2630,-15505,4139,34544,37691,36540,18405,38049
37061,NC,6072,#N/A,5540,8554,4642,3916,4975,#N/A,5460.673295,9428,8554,33431,3781,2630,-15505,4139,33699,37212,36061,17926,37570
37063,NC,8532,#N/A,5540,8554,4642,3916,5401,#N/A,5639.38624,9428,8356,35871,4040,2889,-14982,4398,36585,39911,38760,20889,40269
37065,NC,6540,#N/A,5540,8554,4642,3916,5056,#N/A,5301.817345,9428,7731,32917,3781,2630,-15505,4139,34248,36698,35547,17412,37056
37067,NC,6792,#N/A,5540,8554,4642,3916,5100,#N/A,5460.673295,9428,8175,33771,3781,2630,-15505,4139,34544,37552,36401,18266,37910
37069,NC,8664,#N/A,5540,8554,4642,3916,5424,#N/A,5242.246364,9428,9063,36313,4170,3019,-14720,4528,36740,40483,39332,21593,40841
37071,NC,8232,#N/A,5540,8554,4642,3916,5349,#N/A,5162.818388,9428,8540,35278,4040,2889,-14982,4398,36233,39318,38167,20296,39676
