fips,year,state,food_cost,insurance_cost,healthcare_cost,housing_cost,transportation_cost,other_cost,state_tax_rate,pop,fica_tax_rate,federal_income_tax_rate,total_cost
210099999,2014,AK,3264.485771,1292,2528.386391,7956,3965.869168,2195.290565,0,2508,0.0765,0.0534,23956.17584
210599999,2014,AK,3264.485771,1292,2528.386391,6468,3965.869168,2195.290565,0,2150,0.0765,0.0534,22274.88464
211099999,2014,AK,3264.485771,1292,2528.386391,10800,3965.869168,2195.290565,0,31275,0.0765,0.0534,27169.61144
212299999,2014,AK,3264.485771,1292,2528.386391,7920,3965.869168,2195.290565,0,55400,0.0765,0.0534,23915.49944
213099999,2014,AK,3264.485771,1292,2528.386391,8892,3965.869168,2195.290565,0,13477,0.0765,0.0534,25013.76224
215099999,2014,AK,3264.485771,1292,2528.386391,9816,3965.869168,2195.290565,0,13592,0.0765,0.0534,26057.78984
216499999,2014,AK,3264.485771,1292,2528.386391,7188,3965.869168,2195.290565,0,1631,0.0765,0.0534,23088.41264
217099999,2014,AK,3264.485771,1292,2528.386391,9804,3965.869168,2195.290565,0,88995,0.0765,0.0534,26044.23104
218099999,2014,AK,3264.485771,1292,2528.386391,12060,3965.869168,2195.290565,0,9492,0.0765,0.0534,28593.28544
218599999,2014,AK,3264.485771,1292,2528.386391,9468,3965.869168,2195.290565,0,9430,0.0765,0.0534,25664.58464
218899999,2014,AK,3264.485771,1292,2528.386391,11544,3965.869168,2195.290565,0,7523,0.0765,0.0534,28010.25704
219599999,2014,AK,3264.485771,1292,2528.386391,7344,3965.869168,2195.290565,0,3815,0.0765,0.0534,23264.67704
219899999,2014,AK,3264.485771,1292,2528.386391,6432,3965.869168,2195.290565,0,5559,0.0765,0.0534,22234.20824
222099999,2014,AK,3264.485771,1292,2528.386391,10056,3965.869168,2195.290565,0,8881,0.0765,0.0534,26328.96584
223099999,2014,AK,3264.485771,1292,2528.386391,11328,3965.869168,2195.290565,0,968,0.0765,0.0534,27766.19864
224099999,2014,AK,3264.485771,1292,2528.386391,8388,3965.869168,2195.290565,0,7029,0.0765,0.0534,24444.29264
226199999,2014,AK,3264.485771,1292,2528.386391,8244,3965.869168,2195.290565,0,9636,0.0765,0.0534,24281.58704
227099999,2014,AK,3264.485771,1292,2528.386391,7344,3965.869168,2195.290565,0,7459,0.0765,0.0534,23264.67704
227599999,2014,AK,3264.485771,1292,2528.386391,7524,3965.869168,2195.290565,0,2369,0.0765,0.0534,23468.05904
228299999,2014,AK,3264.485771,1292,2528.386391,6696,3965.869168,2195.290565,0,662,0.0765,0.0534,22532.50184
229099999,2014,AK,3264.485771,1292,2528.386391,7068,3965.869168,2195.290565,0,5588,0.0765,0.0534,22952.82464
400199999,2014,AZ,3623.579206,1101,2528.386391,5652,3965.869168,2195.290565,0.0288,71518,0.0765,0.0534,22091.91942
400399999,2014,AZ,3623.579206,1101,2528.386391,7944,3965.869168,2195.290565,0.0288,131346,0.0765,0.0534,24747.65982
400599999,2014,AZ,3623.579206,1101,2528.386391,9792,3965.869168,2195.290565,0.0288,134421,0.0765,0.0534,26888.93742
400799999,2014,AZ,3623.579206,1101,2528.386391,6444,3965.869168,2195.290565,0.0288,53597,0.0765,0.0534,23009.60982
400999999,2014,AZ,3623.579206,1101,2528.386391,6504,3965.869168,2195.290565,0.0288,37220,0.0765,0.0534,23079.13182
401199999,2014,AZ,3623.579206,1101,2528.386391,5652,3965.869168,2195.290565,0.0288,8437,0.0765,0.0534,22091.91942
401299999,2014,AZ,3623.579206,1101,2528.386391,5880,3965.869168,2195.290565,0.0288,20489,0.0765,0.0534,22356.10302
401399999,2014,AZ,3623.579206,1101,2528.386391,9288,3965.869168,2195.290565,0.0288,3817117,0.0765,0.0534,26304.95262
401599999,2014,AZ,3623.579206,1101,2528.386391,7044,3965.869168,2195.290565,0.0288,200186,0.0765,0.0534,23704.82982
401799999,2014,AZ,3623.579206,1101,2528.386391,5868,3965.869168,2195.290565,0.0288,107449,0.0765,0.0534,22342.19862
401999999,2014,AZ,3623.579206,1101,2528.386391,7596,3965.869168,2195.290565,0.0288,980263,0.0765,0.0534,24344.43222
402199999,2014,AZ,3623.579206,1101,2528.386391,9288,3965.869168,2195.290565,0.0288,375770,0.0765,0.0534,26304.95262
402399999,2014,AZ,3623.579206,1101,2528.386391,6432,3965.869168,2195.290565,0.0288,47420,0.0765,0.0534,22995.70542
402599999,2014,AZ,3623.579206,1101,2528.386391,7440,3965.869168,2195.290565,0.0288,211033,0.0765,0.0534,24163.67502
402799999,2014,AZ,3623.579206,1101,2528.386391,7380,3965.869168,2195.290565,0.0288,195751,0.0765,0.0534,24094.15302
500199999,2014,AR,3035.971767,962,2528.386391,5160,3965.869168,2195.290565,0.025,19019,0.0765,0.0534,20612.09841
500399999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,21853,0.0765,0.0534,20404.21641
500599999,2014,AR,3035.971767,962,2528.386391,5364,3965.869168,2195.290565,0.025,41513,0.0765,0.0534,20847.69801
500799999,2014,AR,3035.971767,962,2528.386391,6396,3965.869168,2195.290565,0.025,221339,0.0765,0.0534,22039.55481
500999999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,36903,0.0765,0.0534,20404.21641
501199999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,11508,0.0765,0.0534,20404.21641
501399999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,5368,0.0765,0.0534,20404.21641
501599999,2014,AR,3035.971767,962,2528.386391,5748,3965.869168,2195.290565,0.025,27446,0.0765,0.0534,21291.17961
501799999,2014,AR,3035.971767,962,2528.386391,5004,3965.869168,2195.290565,0.025,11800,0.0765,0.0534,20431.93401
501999999,2014,AR,3035.971767,962,2528.386391,5160,3965.869168,2195.290565,0.025,22995,0.0765,0.0534,20612.09841
502199999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,16083,0.0765,0.0534,20404.21641
502399999,2014,AR,3035.971767,962,2528.386391,5460,3965.869168,2195.290565,0.025,25970,0.0765,0.0534,20958.56841
502599999,2014,AR,3035.971767,962,2528.386391,5868,3965.869168,2195.290565,0.025,8689,0.0765,0.0534,21429.76761
502799999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,24552,0.0765,0.0534,20404.21641
502999999,2014,AR,3035.971767,962,2528.386391,5496,3965.869168,2195.290565,0.025,21273,0.0765,0.0534,21000.14481
503199999,2014,AR,3035.971767,962,2528.386391,5964,3965.869168,2195.290565,0.025,96443,0.0765,0.0534,21540.63801
503399999,2014,AR,3035.971767,962,2528.386391,5496,3965.869168,2195.290565,0.025,61948,0.0765,0.0534,21000.14481
503599999,2014,AR,3035.971767,962,2528.386391,7896,3965.869168,2195.290565,0.025,50902,0.0765,0.0534,23771.90481
503799999,2014,AR,3035.971767,962,2528.386391,5544,3965.869168,2195.290565,0.025,17870,0.0765,0.0534,21055.58001
503999999,2014,AR,3035.971767,962,2528.386391,5676,3965.869168,2195.290565,0.025,8116,0.0765,0.0534,21208.02681
504199999,2014,AR,3035.971767,962,2528.386391,4980,3965.869168,2195.290565,0.025,13008,0.0765,0.0534,20404.21641
