FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIT Below LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Below LWC,4xTC Taxes,4xTC Benefits,4xTC LW,4xTC Below LWC,Daycare Tax,Daycare Benefits,Daycare LWC,Daycare Marriage Wage,Daycare Daycare Wage,Daycare Below LWC,Daycare Welfare Gap,UBI_12k Tax,UBI_12k Benefits,UBI_12k LWC,UBI_12k Below LWC,Expanded Safety Net Tax,Expanded Safety Net Benefits,Expanded Safety Net LWC,Expanded Safety Net Below LWC,Medical Net,Medical Tax,Medical Benefits,Medical LWC,Medical Below LWC
02240,11112,13295,8002,8509,6397,4344,5951,57610,0.36,11851,9436,17045,8509,7301,-9198,60400,0.31,-20045,-16260,25992,0.11,7237,-9070,60464,0.00,2.64,0.34,0.93,5830,-25078,43049,0.26,2954,-11442,53809,0.26,45252,6648,-17045,51900,0.54
02185,11232,13295,8002,8509,6397,4344,5965,57744,0.32,11851,10067,17045,8509,7656,-8788,61916,0.28,-20482,-16260,26306,0.07,7592,-8375,62265,0.00,2.30,0.28,0.93,6678,-24528,45198,0.16,3640,-10930,55758,0.17,46003,7474,-17045,53477,0.47
02150,12276,13295,8002,8509,6397,4344,6085,58908,0.33,12032,9494,17045,8509,7656,-8788,62567,0.42,-20482,-16260,26957,0.07,7592,-8375,62916,0.00,2.46,0.42,0.93,6678,-24528,45849,0.29,3640,-10930,56409,0.25,46654,7474,-17045,54128,0.51
02013,8556,13295,8002,8509,6397,4344,5657,54760,0.35,13837,11415,17045,8509,7656,-8788,62575,0.49,-20482,-16260,26965,0.07,7592,-8375,62924,0.00,2.01,0.49,0.93,6678,-24528,45857,0.36,3640,-10930,56417,0.32,46662,7474,-17045,54136,0.62
02105,8748,13295,8002,8509,6397,4344,5679,54974,0.49,16778,8662,17045,8509,7891,-8322,63655,0.59,-20771,-16260,27055,0.13,7827,-7803,64110,0.00,2.26,0.59,0.93,7240,-24165,47161,0.44,4095,-10590,57591,0.39,47041,8021,-17045,55062,0.64
02230,13428,13295,8002,8509,6397,4344,6218,60193,0.21,11851,8920,17045,8509,7891,-8322,63666,0.38,-20771,-16260,27066,0.05,7827,-7803,64121,0.00,2.52,0.38,0.93,7240,-24165,47172,0.21,4095,-10590,57602,0.20,47052,8021,-17045,55073,0.51
02220,13608,13295,8002,8509,6397,4344,6239,60394,0.34,11851,9092,17045,8509,7891,-8322,64018,0.39,-20771,-16260,27418,0.09,7827,-7803,64473,0.00,2.19,0.39,0.93,7240,-24165,47524,0.36,4095,-10590,57954,0.23,47404,8021,-17045,55425,0.47
02100,9816,13295,8002,8509,6397,4344,5802,56165,0.43,16778,9121,17045,8509,8237,-7636,66214,0.50,-21197,-15966,28450,0.18,8173,-6961,66825,0.00,1.81,0.50,0.93,8067,-23629,50051,0.34,4492,-10153,59952,0.30,48568,8553,-17045,57121,0.62
02060,12120,13295,8002,8509,6397,4344,6067,58734,0.20,14599,9465,17045,8509,11779,-1534,76327,0.23,-21197,-15966,28919,0.10,11776,-1419,76439,0.00,1.98,0.23,0.93,8067,-23629,50520,0.20,4492,-10153,60421,0.14,49037,8553,-17045,57590,0.39
02188,13692,13295,8002,8509,6397,4344,6248,60487,0.34,11851,10670,17045,8509,11779,-1534,76356,0.40,-21197,-15966,28948,0.17,11776,-1419,76468,0.00,1.58,0.40,0.93,8067,-23629,50549,0.36,4492,-10153,60450,0.27,49066,8553,-17045,57619,0.53
