fips,10000,15000,20000,25000,30000,35000,40000,45000,50000,60000,75000,100000,125000,150000,200000,200000+
05035,2117,1293,1364,1346,1307,1270,805,729,660,1549,1669,1731,1303,469,375,266
05037,786,579,578,529,403,463,325,337,323,589,782,457,369,160,125,77
05039,282,260,353,346,227,329,187,110,169,214,278,226,236,40,34,31
05041,863,613,520,408,295,177,198,220,109,361,586,388,162,85,91,90
05043,1448,503,535,590,375,493,334,201,384,621,710,496,286,170,166,32
05045,3230,2193,2218,2691,2405,2373,1936,2478,1606,3372,5041,5481,3587,1820,1480,1053
05047,642,619,433,336,455,467,455,478,268,605,653,615,388,127,113,129
05049,468,572,372,497,336,313,446,361,318,401,356,341,303,150,76,2
05051,3875,3454,2861,2959,2390,2448,2138,1960,1943,3531,3284,3756,2362,1191,742,982
05053,403,410,429,528,387,474,349,352,297,588,702,924,580,146,162,67
05055,1376,1520,1189,1160,997,1104,1059,980,663,1879,1136,1736,862,483,316,150
05057,904,803,665,916,603,459,269,610,425,559,672,409,406,186,161,68
05059,1022,800,852,1006,746,795,629,573,702,999,1311,1273,743,328,117,131
05061,435,443,509,312,400,324,249,472,232,445,418,335,189,108,111,103
05063,1414,1230,1178,855,1044,1204,1017,781,438,1265,1216,1324,591,306,310,232
05065,608,503,595,438,548,500,325,284,213,353,419,491,201,35,67,76
05067,886,673,613,456,469,350,328,436,281,542,498,461,222,21,109,57
05069,3237,2507,2451,2074,1996,1440,1561,1373,1089,2364,2375,2761,1500,756,605,399
05071,788,1187,894,912,874,706,675,489,363,752,971,639,275,173,128,197
05073,389,367,231,164,210,189,167,124,119,269,203,197,87,50,30,31
05075,705,775,576,418,574,380,418,377,336,492,591,490,330,101,49,18
05077,695,394,336,234,251,249,223,100,142,123,262,283,69,76,19,32
05079,622,448,208,399,220,315,158,307,164,183,324,407,191,76,67,106
05081,443,466,591,353,266,236,293,317,224,553,403,527,331,118,105,15
05083,617,858,753,551,697,639,514,484,399,607,800,682,206,237,214,181
05085,1384,1539,1148,1251,1241,1473,1451,1251,1284,2353,2959,3515,2444,1249,827,203
05087,499,651,423,548,356,314,474,360,252,582,487,586,345,103,79,93
05089,760,578,567,526,658,535,561,485,372,527,603,398,216,54,53,19
05091,1618,1428,1229,978,1181,959,850,1211,722,1547,1562,1754,1074,308,354,171
05093,2450,1641,1163,1074,1202,1213,780,977,735,1069,1315,1560,985,496,281,247
05095,677,319,257,309,227,151,180,222,94,160,264,315,72,56,22,49
05097,401,307,315,389,378,260,171,130,92,373,351,302,220,64,50,10
05099,403,436,396,330,182,197,191,315,119,205,249,305,148,36,38,46
05101,450,316,342,293,171,168,168,264,120,315,206,350,87,35,33,28
05103,1383,1043,1041,719,764,613,538,484,316,921,843,905,419,188,217,108
05105,282,205,197,268,338,200,378,216,228,324,277,502,264,116,97,34
05107,1285,983,823,618,688,414,392,319,301,636,390,564,352,165,218,143
05109,471,337,399,377,358,395,177,238,129,326,388,411,113,75,118,40
05111,1096,1060,680,848,616,524,606,549,423,691,871,729,312,225,60,24
05113,811,682,626,822,554,690,490,355,446,549,716,569,382,95,106,101
05115,1787,1912,1273,1724,1521,1427,1586,1194,1104,2173,2031,2236,1255,493,662,398
05117,473,302,254,327,252,197,211,339,287,294,262,316,162,59,41,0
05119,12973,9154,9422,9689,8558,8987,8095,7887,6813,11944,14404,16776,9989,6321,6676,5635
05121,777,825,660,342,484,430,346,408,378,649,799,604,362,78,98,53
05123,1363,1022,872,717,585,681,518,407,372,690,821,592,389,173,62,87
05125,1666,1513,1792,2176,2485,2562,1894,2275,1985,3980,4776,6210,3898,2022,1748,720
05127,497,325,262,348,299,241,240,241,353,276,388,296,190,28,83,58
05129,531,195,325,219,92,282,274,184,130,219,349,227,111,4,1,36
05131,4216,4019,4071,3331,3356,3519,2631,2197,2577,3753,4508,4320,2679,1536,1160,1551
05133,478,433,576,521,515,360,326,333,310,537,694,398,306,60,33,38
05135,720,655,721,681,652,497,476,495,201,332,612,773,85,70,40,43
05137,529,780,537,424,365,375,212,327,197,241,440,425,168,133,68,46
05139,1789,1351,1272,1191,803,1116,1030,665,842,1485,1395,1816,796,476,273,389
05141,916,628,650,643,575,591,314,475,236,495,594,541,194,62,106,57
05143,7389,5795,5218,4730,5392,4738,4926,4101,3395,6178,7030,7026,5671,3039,3108,2721
05145,2803,2144,2607,1683,1606,1649,1578,1371,1255,2389,2687,3331,2058,824,854,608
05147,546,299,333,288,182,204,203,145,145,113,259,189,60,45,13,31
05149,762,592,694,674,522,424,604,459,335,643,421,989,354,141,157,54
06001,29627,26326,21087,21756,20499,19326,18889,19735,17017,37012,48173,66296,56486,39123,50614,59768
06003,19,16,25,29,12,10,10,18,5,30,71,42,24,39,20,7
06005,872,708,876,801,822,726,714,508,586,1006,1372,2017,1153,699,583,496
06007,6751,6478,6374,5872,5078,5079,4368,4048,3114,6970,8107,8819,5552,3304,2891,2410
06009,1112,1009,1167,773,1013,842,887,915,765,1640,1813,2419,1737,966,907,643
06011,318,421,292,364,542,464,248,411,361,681,751,910,486,207,273,183
06013,14898,13846,13232,13396,12432,13405,13178,13300,12742,24481,35065,46687,39810,29951,38058,45702
06015,964,1028,689,626,501,532,476,326,338,701,1103,919,683,281,167,193
06017,2928,2956,2477,2857,2928,3069,2986,2412,2291,5047,6334,8609,6672,4443,5413,5798
06019,23914,20704,19853,18721,17950,16684,14115,13851,11997,22404,27784,31797,20200,11862,11817,8897
06021,746,820,801,482,648,535,743,304,395,752,835,1002,598,432,172,296
06023,4165,4605,3543,3524,3341,3339,2961,2561,2566,4714,5164,5607,3229,1311,1385,1115
06025,4244,4370,3387,3247,2735,2657,2098,2157,1668,3356,4036,5430,3115,1996,1501,955
06027,364,818,483,409,610,403,408,395,356,409,889,992,609,261,285,200
06029,17751,17727,15780,15723,15603,13562,14029,11506,9727,19363,25944,30408,19766,11252,11519,8077
06031,2891,2489,2388,2625,2218,2539,2360,2043,2065,3113,4080,4862,2757,1827,1832,1019
06033,2485,2511,2537,2119,1818,1637,1250,1216,1233,1944,2235,2488,1665,681,535,417
06035,776,623,398,481,656,408,335,490,447,769,1305,1313,737,484,420,179
06037,212332,189719,176592,168723,157137,155804,143355,141637,123248,239617,302327,380020,268317,170260,193623,219680
06039,3325,2173,2782,2810,2814,2489,2404,2382,1856,3657,4753,4253,3087,1775,1269,894
06041,3717,3858,3469,3453,2809,3220,3460,3196,2906,5694,7599,11418,10211,7063,10767,20194
06043,585,353,530,545,212,331,396,370,273,544,712,863,760,391,243,181
06045,2442,3097,2457,2151,2100,2365,1264,1578,1404,3121,3490,3151,1967,1383,913,810
06047,5278,5747,5239,5378,4988,4969,4162,3840,3234,6512,7444,7947,4486,2908,2234,2150
06049,415,251,225,406,327,198,238,186,205,196,377,347,334,141,10,37
06051,84,309,175,115,222,295,466,164,214,409,698,969,469,343,115,113
06053,5823,5354,5619,6536,6095,6194,6364,5745,5330,10824,13054,16149,10746,6924,7272,7086
06055,1714,2105,1701,2433,1762,1965,1915,2071,2264,3602,4597,6723,5417,3307,3690,4365
06057,1682,2139,2019,2121,2074,2475,1729,1942,1876,3308,4080,5333,3669,2208,2390,1793
06059,43966,34301,35442,37223,37513,37418,36582,36469,34608,70171,91405,131486,103122,74465,91544,106570
06061,5508,4755,5231,5104,5137,5423,5313,5289,4156,9199,13028,18259,15034,10404,11885,10386
06063,588,774,500,636,308,647,336,280,323,845,821,1115,596,190,283,287
06065,37929,35007,35445,37094,33798,35455,32305,31714,29591,53786,71060,90661,59966,38559,39405,28613
06067,32088,30852,25597,25401,25221,25604,25258,23802,21727,40960,53142,66096,45611,26796,29789,21516
06069,600,723,711,780,531,662,937,688,614,1178,2110,2308,1965,1070,1292,952
06071,41056,31580,32562,31968,31042,28573,29323,29226,24792,51362,64413,77983,52301,30952,29655,20816
06073,66671,46262,43408,47942,46610,49264,44949,44568,42881,80523,102683,140525,101855,68329,79141,78200
06075,22652,21338,13689,13494,11228,10987,10583,10114,9166,19378,26305,36924,33524,24087,32934,52429
06077,13339,12295,11901,12827,10526,11179,10793,10016,9277,17345,21987,26368,19465,10274,12231,7520
06079,6523,5437,3947,4763,4631,5194,4309,5091,3956,7727,9560,13946,9893,6132,5986,5255
06081,8197,6465,6736,7667,7926,7814,7525,8775,7201,15831,22999,31868,27328,20592,26150,45609
06083,7641,6693,6588,6213,6521,6431,6210,5682,5383,10346,14320,17854,12401,8692,10263,10790
06085,23162,19090,18306,18509,18678,18738,16946,18932,17398,33307,48255,72428,65244,49456,70785,105480
06087,5975,3974,3608,4407,3497,3850,3885,3891,3421,6264,8964,11802,8715,6049,7834,8083
06089,4797,5255,4432,4731,4155,4079,3721,3606,3472,5458,7153,7362,4410,2133,2495,1702
06091,79,104,148,41,74,64,62,100,41,98,96,138,122,23,53,48
06093,1616,1908,1705,1753,1128,1094,919,1038,807,1660,1875,1979,680,521,399,298
06095,6927,6444,5168,5538,5452,5909,5235,5970,5136,11275,14927,20939,15307,9766,10715,7813
06097,8236,8026,7820,9161,8003,8134,7750,7994,8127,15096,18700,25262,17925,11657,12867,12177
06099,11372,11080,10127,8742,9492,9603,9000,8688,6449,14173,17139,19914,13054,8016,6403,4838
06101,1606,1944,2017,1862,1576,1589,1664,1749,1260,2826,3283,3732,2652,1264,1702,997
06103,1567,1656,1621,1709,1490,1756,1469,1100,1149,2083,2350,2383,1449,718,440,540
06105,365,523,484,457,296,564,172,230,309,352,472,660,280,137,104,116
06107,10382,9269,9931,9050,8525,8335,7124,6435,6137,10872,12326,13440,8049,5100,4681,3050
06109,1334,1417,1481,1197,1367,1406,1115,919,1247,2265,2064,2695,1422,704,888,660
06111,9304,9271,9511,10150,9017,10166,9058,10323,9388,17690,25615,38189,28817,20767,24096,26467
06113,5084,4468,4116,3716,3402,2897,2890,2727,3058,5086,6157,7678,6668,3900,4937,4169
06115,1581,1570,1684,1723,1636,1625,1180,1211,1369,2160,2608,3197,1528,700,647,293
08001,8076,5900,6136,6871,8353,7732,7666,8232,7469,14331,18137,22944,14089,8189,6454,4468
08003,1036,442,555,549,312,333,172,321,336,378,398,555,219,86,147,154
08005,11888,8090,8441,10772,10174,11019,10398,10301,9443,19151,25141,29248,21425,13765,14447,14564
08007,280,243,288,401,291,361,423,269,212,406,585,620,345,311,119,189
08009,181,115,129,111,91,110,109,106,58,157,141,174,69,29,20,37
08011,179,164,100,118,65,138,169,132,95,126,206,134,73,35,22,32
08013,8077,4334,5401,4702,5324,4408,4686,4915,4082,7843,11034,14633,11747,8519,10659,11162
08014,898,623,602,828,683,924,756,635,712,1606,2224,3394,2860,1899,2070,1937
08015,413,361,471,451,511,413,457,504,356,759,916,1139,287,320,184,193
08017,36,61,38,25,46,35,70,25,27,75,127,101,53,33,11,25
08019,194,123,185,127,201,146,103,186,117,292,535,663,364,400,251,216
08021,371,302,211,231,148,191,104,123,113,237,352,323,131,158,24,4
08023,186,140,134,141,64,42,87,110,89,62,82,134,58,22,23,22
08025,167,108,110,70,118,52,46,92,64,124,75,64,33,15,16,19
08027,209,169,182,184,200,218,64,76,31,160,276,177,66,42,18,53
08029,1102,1019,766,904,711,804,580,727,647,893,1224,1512,659,332,330,317
08031,23817,14939,13749,13887,13766,13944,12466,12726,11502,20360,24242,31578,20286,12284,14136,17372
08033,115,48,56,62,52,62,47,20,41,75,39,71,34,10,13,14
08035,2323,1529,1828,1817,2072,2829,2299,3054,2539,5928,9015,15481,14961,11181,13864,14684
08037,537,335,393,663,436,720,1002,804,577,1596,2108,2457,1804,1229,1625,1752
08039,284,154,157,244,199,272,334,315,201,692,900,1408,1013,650,697,739
08041,13962,9665,11058,12196,11306,11309,11180,11142,11177,21216,25074,31497,21290,13968,13621,10493
08043,1272,1331,1206,925,1256,1198,978,979,806,1560,1621,1621,991,261,333,262
08045,954,619,1136,1027,831,965,874,1204,928,2086,2047,3023,1937,1029,981,689
08047,85,95,161,97,100,77,126,55,78,256,374,309,249,120,168,113
08049,284,164,134,148,213,292,138,410,169,471,717,823,607,192,222,224
08051,494,283,334,310,293,270,386,449,298,433,865,945,399,205,200,172
08053,13,20,24,40,16,16,28,11,8,57,22,67,38,24,19,15
08055,257,282,273,228,283,219,73,209,71,142,262,308,83,39,59,76
08057,60,39,41,26,38,20,44,46,47,45,85,103,20,9,15,6
08059,9652,6975,7862,9231,8272,9793,8640,9597,8514,17094,23113,32148,23568,15387,16518,14450
08061,53,35,37,50,20,47,43,43,21,30,44,86,12,5,24,9
08063,171,226,241,222,239,210,187,133,128,286,238,396,164,101,63,48
08065,227,114,194,145,123,166,247,306,92,205,374,415,333,79,72,14
08067,1248,887,822,902,957,1011,961,1085,891,2024,2518,2936,1672,1264,1126,820
08069,7240,5296,6033,6186,5574,5929,5887,5619,5331,9518,13067,16815,11110,6508,7072,5558
08071,585,400,449,323,277,343,261,242,331,610,545,635,473,169,157,90
08073,152,168,60,141,93,119,94,78,85,131,170,218,126,40,27,55
08075,602,627,418,521,522,529,527,432,299,737,644,881,430,233,175,248
08077,4681,3239,3181,3155,3590,3393,3343,3129,2454,4853,5874,7101,4631,2363,2471,1508
08079,12,19,36,36,14,18,26,12,29,20,35,43,36,26,6,7
08081,361,258,344,229,254,321,247,152,272,375,465,753,406,171,238,44
