FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIT Below LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Below LWC,4xTC Taxes,4xTC Benefits,4xTC LW,4xTC Below LWC,Daycare Tax,Daycare Benefits,Daycare LWC,Daycare Marriage Wage,Daycare Daycare Wage,Daycare Below LWC,Daycare Welfare Gap,UBI_12k Tax,UBI_12k Benefits,UBI_12k LWC,UBI_12k Below LWC,Expanded Safety Net Tax,Expanded Safety Net Benefits,Expanded Safety Net LWC,Expanded Safety Net Below LWC,Medical Net,Medical Tax,Medical Benefits,Medical LWC,Medical Below LWC
48427,5412,0,3022,4697,2144,2253,2019,19547,0.55,0,3022,3082,4417,1217,-2809,16594,0.45,563,-2724,16025,0.32,1210,-2724,16672,0.00,0.00,0.45,0.51,310,-14724,3772,0.08,1215,-2724,16677,0.45,15104,3232,-3082,16677,0.61
48179,5412,0,3022,4697,2144,2253,2019,19547,0.30,0,3022,3082,4413,1217,-2809,16590,0.23,563,-2724,16021,0.16,1210,-2724,16668,0.00,0.00,0.23,0.51,310,-14724,3768,0.03,1215,-2724,16673,0.23,15100,3232,-3082,16673,0.36
48191,5100,0,3022,4697,2144,2253,1983,19199,0.45,0,3022,3082,4697,1217,-2809,16562,0.41,563,-2724,15993,0.27,1210,-2724,16640,0.00,0.00,0.41,0.51,310,-14724,3740,0.04,1215,-2724,16645,0.41,15072,3232,-3082,16645,0.50
48505,5412,0,3022,4697,2144,2253,2019,19547,0.48,0,3022,3082,4353,1217,-2809,16530,0.33,563,-2724,15961,0.31,1210,-2724,16608,0.00,0.00,0.33,0.51,310,-14724,3708,0.07,1215,-2724,16613,0.34,15040,3232,-3082,16613,0.53
48037,5292,0,3022,4697,2144,2253,2005,19413,0.36,0,3022,3082,4463,1217,-2809,16520,0.27,563,-2724,15951,0.17,1210,-2724,16598,0.00,0.00,0.27,0.51,310,-14724,3698,0.05,1215,-2724,16603,0.27,15030,3232,-3082,16603,0.39
48073,5412,0,3022,4697,2144,2253,2019,19547,0.38,0,3022,3082,4329,1217,-2809,16506,0.31,563,-2724,15937,0.19,1210,-2724,16584,0.00,0.00,0.31,0.51,310,-14724,3684,0.05,1215,-2724,16589,0.31,15016,3232,-3082,16589,0.44
48353,5412,0,3022,4697,2144,2253,2019,19547,0.39,0,3022,3082,4315,1217,-2809,16492,0.26,563,-2724,15923,0.18,1210,-2724,16570,0.00,0.00,0.25,0.51,310,-14724,3670,0.05,1215,-2724,16575,0.26,15002,3232,-3082,16575,0.43
48013,4920,0,3022,4697,2144,2253,1963,18999,0.29,0,3022,3082,4798,1217,-2809,16483,0.21,563,-2724,15914,0.15,1210,-2724,16561,0.00,0.00,0.21,0.51,310,-14724,3661,0.04,1215,-2724,16566,0.21,14993,3232,-3082,16566,0.33
48321,5124,0,3022,4697,2144,2253,1986,19226,0.38,0,3022,3082,4586,1217,-2809,16475,0.29,563,-2724,15906,0.20,1210,-2724,16553,0.00,0.00,0.28,0.51,310,-14724,3653,0.06,1215,-2724,16558,0.29,14985,3232,-3082,16558,0.44
48089,5004,0,3022,4697,2144,2253,1972,19092,0.32,0,3022,3082,4697,1217,-2809,16466,0.26,563,-2724,15897,0.13,1210,-2724,16544,0.00,0.00,0.26,0.51,310,-14724,3644,0.04,1215,-2724,16549,0.26,14976,3232,-3082,16549,0.36
48489,5460,0,3022,4697,2144,2253,2025,19601,0.52,0,3022,3082,4198,1217,-2809,16423,0.43,563,-2724,15854,0.38,1210,-2724,16501,0.00,0.00,0.43,0.51,310,-14724,3601,0.11,1215,-2724,16506,0.38,14933,3232,-3082,16506,0.55
48009,5088,0,3022,4697,2144,2253,1982,19186,0.25,0,3022,3082,4567,1217,-2809,16420,0.19,563,-2724,15851,0.12,1210,-2724,16498,0.00,0.00,0.19,0.51,310,-14724,3598,0.03,1215,-2724,16503,0.13,14930,3232,-3082,16503,0.27
48077,5088,0,3022,4697,2144,2253,1982,19186,0.27,0,3022,3082,4565,1217,-2809,16418,0.19,563,-2724,15849,0.13,1210,-2724,16496,0.00,0.00,0.19,0.51,310,-14724,3596,0.03,1215,-2724,16501,0.14,14928,3232,-3082,16501,0.32
48481,5028,0,3022,4697,2144,2253,1975,19119,0.38,0,3022,3082,4607,1217,-2809,16400,0.28,563,-2724,15831,0.18,1210,-2724,16478,0.00,0.00,0.28,0.51,310,-14724,3578,0.04,1215,-2724,16483,0.20,14910,3232,-3082,16483,0.40
48485,5088,0,3022,4697,2144,2253,1982,19186,0.32,0,3022,3082,4547,1217,-2809,16400,0.24,563,-2724,15831,0.14,1210,-2724,16478,0.00,0.00,0.24,0.51,310,-14724,3578,0.04,1215,-2724,16483,0.15,14910,3232,-3082,16483,0.36
48115,5412,0,3022,4697,2144,2253,2019,19547,0.40,0,3022,3082,4180,1217,-2809,16357,0.27,563,-2724,15788,0.22,1210,-2724,16435,0.00,0.00,0.27,0.51,310,-14724,3535,0.06,1215,-2724,16440,0.23,14867,3232,-3082,16440,0.43
48285,4848,0,3022,4697,2144,2253,1954,18918,0.21,0,3022,3082,4697,1217,-2809,16310,0.23,563,-2724,15741,0.12,1210,-2724,16388,0.00,0.00,0.22,0.51,310,-14724,3488,0.02,1215,-2724,16393,0.13,14820,3232,-3082,16393,0.37
48323,5064,0,3022,4697,2144,2253,1979,19159,0.45,0,3022,3082,4471,1217,-2809,16300,0.38,563,-2724,15731,0.24,1210,-2724,16378,0.00,0.00,0.38,0.51,310,-14724,3478,0.07,1215,-2724,16383,0.25,14810,3232,-3082,16383,0.51
48203,4812,0,3022,4697,2144,2253,1950,18878,0.23,0,3022,3082,4638,1217,-2809,16215,0.24,563,-2724,15646,0.17,1210,-2724,16293,0.00,0.00,0.24,0.51,310,-14724,3393,0.05,1215,-2724,16298,0.18,14725,3232,-3082,16298,0.36
48455,5412,0,3022,4697,2144,2253,2019,19547,0.41,0,3022,3082,4010,1217,-2809,16187,0.29,563,-2724,15618,0.21,1210,-2724,16265,0.00,0.00,0.28,0.51,310,-14724,3365,0.05,1215,-2724,16270,0.22,14697,3232,-3082,16270,0.46
